,12GHA01005,12GHA01010,12GHA01014,12GHA01015,12GHA01018,12GHA01019,12GHA01020,12GHA01021,12GHA01022,12GHA01026,12GHA01028,12GHA01029,12GHA01030,12GHA01031,12GHA01033,12GHA01034,12GHA01035,12GHA01045,12GHA01048,12GHA01049,12GHA01051,12GHA01065,12GHA01067,12GHA01069,12GHA01071,12GHA01073,12GHA01074,12GHA01077,12GHA01078,12GHA01079,12GHA01083,12GHA01084,12GHA01085,12GHA01086,12GHA01087,12GHA01096,12GHA01097,12GHA01100,12GHA01102,12GHA01104,12GHA01109,12GHA01110,12GHA01111,12GHA01112,12GHA01114,12GHA01115,12GHA01116,12GHA01117,12GHA01118,12GHA01120,12GHA01125,12GHA01131,12GHA01132,12GHA01135,12GHA01137,12GHA01138,12GHA01140,12GHA01141,12GHA01142,12GHA01144,12GHA01147,12GHA01148,12GHA01152,12GHA01154,12GHA01156,12GHA01159,12GHA01161,12GHA01162,12GHA01163,12GHA01164,12GHA01165,12GHA01168,12GHA01170,12GHA01171,12GHA01172,12GHA01173,12GHA01174,12GHA01175,12GHA01176,12GHA01177,12GHA01179,12GHA01181,12GHA01182,12GHA01183,12GHA01184,12GHA01185,12GHA01187,12GHA01191,12GHA01193,12GHA01194,12GHA01196,12GHA01199,OpataM85,SyntheticW7984
TP568,B,B,B,B,A,A,B,A,B,A,B,A,A,A,B,B,A,A,A,B,A,-,A,B,B,B,B,B,B,B,A,A,A,A,B,A,B,A,B,-,A,A,A,B,B,B,B,B,A,A,B,A,B,A,A,B,B,A,B,A,B,A,A,A,A,B,A,B,B,B,B,B,A,B,A,A,-,A,A,A,B,B,B,B,B,B,B,B,B,A,B,B,A,B
TP575,A,B,-,B,B,B,A,B,B,B,B,B,-,B,B,B,A,B,A,B,A,-,-,A,A,A,A,B,B,A,B,A,-,A,B,A,A,A,A,B,A,B,A,A,B,B,B,A,B,A,A,B,A,A,A,A,B,B,B,A,B,A,B,B,A,A,A,B,B,B,A,A,B,A,A,B,A,B,A,B,A,A,A,B,B,B,A,B,B,B,A,B,A,B
TP582,A,B,A,B,B,A,A,A,A,A,A,A,-,A,B,A,B,A,B,A,-,-,A,B,B,B,A,B,B,B,B,A,B,B,B,A,B,B,A,A,B,B,A,A,A,A,B,B,B,A,A,B,A,B,B,B,A,A,B,A,B,B,A,A,A,B,B,B,A,B,A,B,B,B,B,B,B,B,B,A,B,A,A,B,B,B,A,A,B,A,A,A,A,B
TP603,A,A,A,B,B,A,B,A,A,B,A,A,B,A,B,B,B,A,B,A,B,-,B,B,B,A,A,B,B,B,A,B,-,A,A,-,A,B,B,B,B,B,-,A,A,A,B,B,B,A,A,B,A,A,B,B,A,A,A,A,B,A,A,B,A,B,B,B,A,B,A,A,B,B,B,B,A,B,B,A,B,A,A,B,B,B,B,A,B,A,A,A,A,B
TP627,B,A,A,A,A,A,A,A,B,B,A,A,-,B,B,B,A,B,A,A,B,-,B,B,B,B,A,B,B,A,A,B,B,B,B,B,A,-,B,B,A,A,A,A,B,B,A,B,A,A,A,B,A,A,A,A,B,A,B,A,B,A,B,A,A,B,B,B,A,B,B,A,A,A,A,A,A,A,B,-,A,A,A,B,B,A,B,B,B,A,A,B,A,B
TP633,A,B,B,B,B,B,B,B,A,A,B,B,-,A,B,B,A,B,B,A,A,-,B,A,A,A,B,A,B,B,A,A,B,A,B,A,B,A,B,B,A,A,A,B,B,B,A,B,A,A,B,A,B,A,A,B,B,B,A,A,B,A,A,A,B,B,A,A,B,A,A,B,B,A,B,B,B,A,B,B,B,A,A,B,A,B,A,A,A,A,B,A,A,B
TP636,A,-,B,A,A,-,B,B,B,-,-,A,-,B,-,-,A,A,A,B,A,-,B,B,A,A,B,B,A,B,A,A,A,A,A,B,A,A,B,A,B,A,B,B,A,B,B,A,A,B,B,A,A,B,B,A,B,B,B,B,B,B,B,B,B,B,A,B,A,B,A,B,B,B,A,A,B,A,B,A,A,A,A,B,B,A,A,B,A,A,A,B,A,B
TP654,A,A,A,A,A,B,A,B,A,A,B,A,B,A,B,B,B,B,A,B,B,-,B,A,A,A,B,A,B,A,B,B,A,A,A,B,A,A,A,B,A,B,A,A,A,B,B,A,B,B,B,B,A,B,A,B,A,B,B,A,B,B,B,B,B,B,A,B,A,B,A,B,B,A,A,A,A,B,B,B,A,A,B,B,A,B,A,B,B,B,B,B,A,B
TP675,A,B,A,A,B,A,A,A,A,A,A,A,A,B,B,A,A,B,B,A,A,-,B,B,B,A,A,B,B,A,A,B,B,B,B,B,B,A,A,B,B,A,B,B,B,B,A,A,A,B,A,A,A,B,A,B,A,A,A,B,A,B,-,A,B,B,A,B,B,A,A,-,B,A,B,B,B,B,A,B,B,A,B,B,B,B,B,B,B,B,B,B,A,B
TP737,A,A,B,B,B,A,B,B,A,A,B,B,-,B,B,B,B,A,A,B,A,-,A,B,A,B,A,A,B,B,B,A,B,B,A,A,B,B,B,A,B,A,A,A,A,A,B,A,B,A,A,A,B,B,A,A,A,-,A,A,B,B,B,A,A,A,A,B,A,B,A,B,B,A,A,B,A,B,A,A,B,B,A,A,B,B,A,A,A,A,B,B,A,B
TP753,B,A,A,B,A,-,A,A,B,B,B,B,-,A,A,A,A,A,B,A,B,-,A,A,A,B,A,A,A,B,A,A,B,B,A,A,A,B,A,A,B,B,A,A,A,B,B,B,B,A,A,B,A,B,B,B,B,A,A,A,B,B,B,B,B,B,A,A,B,A,B,B,B,B,B,A,B,A,B,B,B,B,B,B,B,B,A,B,A,A,A,A,A,B
TP812,A,B,A,A,A,B,A,B,-,A,B,A,-,A,B,B,A,B,A,B,B,A,A,A,A,A,B,B,B,A,A,A,A,A,B,B,A,A,A,B,A,A,A,B,B,B,B,B,B,A,B,A,-,A,B,B,A,B,B,A,A,A,B,B,A,B,A,B,B,B,A,B,B,A,A,B,A,B,B,B,A,A,A,B,A,B,A,B,B,B,B,B,A,B
TP879,B,A,A,A,B,A,B,A,B,B,B,A,-,A,B,A,A,A,B,B,B,-,B,B,A,B,A,A,B,A,A,B,B,A,A,A,B,B,B,A,A,B,B,B,B,A,A,A,A,B,B,B,A,B,B,A,A,B,B,A,B,A,B,B,A,A,A,B,B,A,B,B,B,A,B,A,B,B,A,B,A,B,B,B,A,A,A,B,A,A,A,B,A,B
TP901,B,A,A,B,A,B,A,A,B,B,B,B,-,A,A,A,A,A,B,A,B,-,A,A,A,B,A,A,A,B,A,A,B,B,A,A,A,B,A,A,B,B,A,A,A,B,B,B,B,A,A,B,A,B,B,B,B,A,A,A,B,B,B,B,B,B,A,A,B,A,B,B,B,B,B,A,B,A,B,B,B,B,B,B,B,B,A,B,A,A,A,A,A,B
TP929,A,B,A,A,A,B,B,A,B,A,B,B,A,-,A,A,A,B,B,A,B,-,A,A,A,A,A,B,A,B,B,B,A,A,B,A,A,A,B,A,B,B,A,A,A,B,A,B,B,A,B,B,A,A,B,B,B,B,B,A,A,A,B,B,A,B,B,A,A,A,A,B,B,A,B,B,B,A,B,A,A,B,B,A,A,A,A,B,A,A,B,A,A,B
TP969,B,A,A,A,A,B,B,A,B,B,B,B,-,-,A,A,A,B,B,A,B,-,A,A,A,A,A,B,A,B,B,B,B,A,A,A,A,A,A,A,B,B,A,A,A,B,A,B,B,A,A,B,A,B,B,B,B,B,B,A,A,A,B,B,B,B,A,A,B,A,B,B,B,A,B,A,B,A,B,B,B,B,B,A,B,B,A,B,B,A,A,A,A,B
TP1060,A,A,B,B,B,B,A,A,B,B,B,A,-,A,A,A,B,B,B,A,A,-,A,B,A,A,B,A,B,B,B,A,A,B,B,B,B,A,B,A,A,A,B,A,A,A,A,B,A,A,A,B,A,B,A,A,A,A,B,A,B,B,-,A,A,B,B,B,A,B,-,B,A,B,B,B,B,B,A,A,A,A,A,B,B,B,B,B,B,B,B,B,A,B
TP1083,B,A,A,B,A,B,B,A,B,A,A,B,-,A,B,B,A,A,B,B,A,-,A,A,A,B,A,A,B,A,B,B,A,A,B,B,B,B,A,A,A,B,B,B,B,B,B,A,B,B,A,B,A,B,A,B,B,A,B,A,B,A,A,A,A,A,B,A,A,B,B,A,B,A,B,B,B,B,A,B,A,B,A,A,A,B,B,A,A,A,B,A,A,B
TP1106,A,B,A,B,B,A,A,A,B,A,B,A,-,A,B,A,B,B,B,A,-,A,A,B,B,B,A,B,B,B,B,A,B,B,B,B,B,A,A,A,B,B,A,A,B,A,A,B,B,A,A,B,A,B,B,B,A,A,B,A,A,B,A,A,A,B,A,B,A,B,A,B,B,B,B,B,B,B,A,A,B,A,A,B,B,-,A,A,B,A,A,A,A,B
TP1141,B,B,B,A,A,A,A,A,B,A,B,B,B,B,B,B,B,B,A,A,A,-,B,B,A,A,A,A,B,B,A,A,A,A,A,A,B,A,B,A,B,B,A,A,A,B,B,A,B,B,B,B,B,A,A,A,A,B,A,A,B,A,B,A,B,A,A,A,A,B,B,A,B,A,A,A,A,B,B,B,B,B,B,A,A,A,B,A,A,A,A,A,A,B
TP1274,B,B,B,A,A,A,A,A,A,A,B,A,A,A,A,A,B,A,A,B,B,-,B,A,A,A,B,B,B,A,A,B,B,B,A,B,A,B,B,A,A,B,B,A,B,A,B,B,B,A,A,A,A,B,A,A,A,B,A,A,B,A,A,B,B,A,A,B,A,B,B,B,B,B,A,B,B,A,A,A,B,A,B,A,A,A,B,B,A,A,B,A,A,B
TP1289,A,A,A,A,B,B,B,B,B,-,A,B,A,B,A,B,A,B,B,A,B,-,B,A,B,B,B,A,A,A,A,A,A,B,A,B,-,B,B,B,B,A,A,A,B,B,A,A,A,B,A,A,B,B,A,B,-,A,B,A,A,A,A,A,A,A,A,B,A,A,A,A,A,B,B,B,B,B,A,B,A,-,B,A,A,B,B,A,A,A,B,A,A,B
TP1306,A,B,B,B,A,B,A,B,A,B,B,A,-,B,A,A,A,A,B,B,B,-,A,B,B,B,B,A,A,B,B,B,A,B,B,A,B,A,A,A,B,A,A,A,A,A,A,B,B,A,B,A,A,B,A,B,A,A,B,B,B,B,A,B,B,B,A,A,A,B,A,B,A,B,B,B,A,A,A,A,A,B,A,B,A,A,B,A,B,B,B,A,A,B
TP1315,A,B,B,B,A,B,A,B,A,B,B,A,A,B,B,A,A,B,B,B,B,-,A,B,B,B,B,A,A,B,B,B,A,B,B,A,-,A,A,B,A,A,A,A,A,A,A,B,A,A,B,B,A,B,A,B,A,A,B,B,B,B,A,B,B,B,A,A,A,B,A,B,A,A,B,B,B,A,A,A,A,B,A,B,A,A,B,A,B,B,B,A,A,B
TP1360,A,B,A,A,B,B,A,B,B,B,B,A,-,B,A,B,A,A,A,A,B,B,B,A,A,B,A,B,B,B,A,B,B,B,A,B,B,A,B,B,A,A,B,B,B,A,B,A,B,B,B,B,A,B,B,B,B,A,B,B,B,B,A,A,A,A,A,A,B,A,A,A,B,A,A,A,B,B,A,B,A,A,A,-,A,A,B,B,A,B,A,A,A,B
TP1439,B,A,A,B,A,B,A,A,B,B,B,B,-,A,A,A,A,A,B,A,B,-,A,A,A,B,A,A,A,B,A,A,B,B,A,A,A,B,A,A,B,A,A,A,A,B,B,B,B,A,A,B,A,B,B,B,B,A,A,A,B,B,B,B,B,B,A,A,B,A,B,B,B,B,B,A,B,A,B,B,B,B,B,B,B,B,A,B,A,A,A,A,A,B
TP1469,B,B,B,A,B,A,A,A,A,A,B,A,-,A,B,A,B,B,A,B,B,-,B,A,A,A,A,A,B,A,A,A,A,A,A,A,A,B,B,A,B,B,B,A,B,A,B,A,B,A,A,A,B,B,A,A,A,B,A,A,B,A,B,A,B,A,A,B,B,B,B,A,B,B,A,B,B,B,B,A,B,B,B,A,A,A,B,B,A,A,B,A,A,B
TP1496,B,B,B,A,A,A,A,B,A,B,B,B,A,B,A,B,B,A,B,A,B,-,B,A,B,A,B,B,B,A,B,A,B,A,A,B,B,B,B,A,B,A,A,B,A,B,A,A,B,B,B,B,B,B,A,B,B,A,A,B,A,A,A,A,B,B,B,B,B,A,B,A,A,A,B,B,A,B,A,B,A,A,A,A,A,B,B,B,A,B,A,B,A,B
TP1507,B,A,B,A,B,B,A,B,A,A,B,B,A,A,B,A,B,A,A,A,A,-,B,A,A,A,B,B,A,A,A,A,B,A,B,B,A,B,B,A,A,A,B,B,A,A,A,A,B,B,B,B,B,A,B,B,B,B,B,A,A,B,A,A,A,A,B,A,A,A,-,B,A,B,A,A,A,A,B,A,B,A,B,A,A,A,A,B,B,B,B,B,A,B
TP1667,A,A,A,B,B,B,A,A,B,B,B,A,-,A,B,A,B,B,B,A,A,-,A,B,A,A,A,A,B,B,B,A,A,B,B,B,B,A,A,A,B,A,B,A,B,A,A,B,A,A,A,B,A,-,A,A,A,A,B,A,B,B,A,A,A,B,B,B,-,B,A,B,A,A,B,B,B,B,A,A,A,A,A,B,B,B,B,B,B,B,A,B,A,B
TP1672,A,A,A,A,A,A,A,B,A,B,A,B,-,A,B,B,B,A,B,A,B,A,A,B,A,B,B,B,B,A,A,B,B,A,B,B,B,B,A,B,B,B,B,A,A,B,A,A,A,B,B,B,A,B,A,B,B,B,A,B,A,B,A,B,B,B,A,A,A,A,A,B,A,A,B,B,B,A,B,A,A,A,A,A,A,B,B,B,B,A,B,B,A,B
TP1697,A,A,B,B,A,A,A,A,A,B,B,B,-,B,B,A,A,B,B,A,B,B,A,A,B,B,B,A,B,B,A,B,A,A,A,B,A,B,A,B,A,A,A,A,A,A,B,B,A,B,B,B,B,B,B,B,A,A,B,A,B,B,A,B,B,B,A,A,A,B,A,B,A,A,B,B,B,A,A,A,A,B,B,B,B,B,B,B,A,A,B,A,A,B
TP1801,A,A,A,B,A,B,B,B,B,B,A,B,A,A,A,B,A,A,B,B,A,-,A,B,A,B,B,B,B,B,B,A,A,A,B,A,B,B,A,A,A,B,B,A,B,B,B,A,A,-,A,A,-,B,A,A,B,B,B,A,B,A,A,-,A,A,B,A,A,B,A,A,B,A,B,A,A,B,A,B,A,A,B,A,A,B,B,A,A,A,B,A,A,B
TP1832,A,A,B,A,B,A,B,B,A,A,A,A,B,B,B,A,A,A,A,A,B,-,A,A,B,B,B,B,B,B,A,B,A,A,A,B,A,A,A,A,B,B,B,B,B,B,B,B,A,B,A,B,B,B,A,B,A,B,A,A,A,A,A,A,A,B,B,B,A,A,A,A,A,A,A,A,-,A,B,B,A,B,A,B,B,B,A,B,A,B,B,B,A,B
TP1913,A,A,B,A,B,A,B,B,A,A,A,A,B,B,B,A,A,A,A,A,B,-,A,B,B,B,B,B,B,A,A,B,B,A,A,B,A,A,A,A,B,B,B,B,B,B,B,B,A,B,A,B,B,-,A,-,A,B,A,A,A,A,-,A,A,B,B,B,A,A,A,B,A,A,A,A,A,A,B,B,A,B,A,B,B,B,A,B,A,B,B,A,A,B
TP2005,A,B,B,A,B,A,A,B,B,B,B,A,A,A,B,A,B,B,B,B,-,-,A,A,-,A,B,A,B,B,A,A,B,B,B,B,A,B,B,-,B,A,A,B,A,B,B,A,A,B,A,B,A,B,A,B,A,A,A,A,A,B,B,B,B,B,A,B,A,A,A,B,A,A,B,B,B,B,A,B,A,A,A,A,A,A,A,B,A,B,A,A,A,B
TP2032,A,A,B,B,A,A,A,A,A,B,B,B,A,B,B,A,A,B,B,A,B,-,A,A,B,B,B,A,A,B,A,B,A,A,A,B,A,B,A,B,A,A,A,A,A,A,B,B,A,B,B,B,B,B,B,B,A,A,B,A,B,B,A,B,B,B,A,A,A,B,A,B,A,A,B,B,B,A,A,A,A,B,A,B,B,B,B,B,A,B,B,A,A,B
TP2106,A,A,A,A,A,B,A,B,A,A,B,A,-,A,B,B,A,B,A,B,B,-,A,A,A,A,B,B,B,A,A,B,A,A,B,B,A,A,A,B,A,A,A,B,B,B,B,B,B,A,B,A,A,A,B,B,A,B,B,A,B,A,B,B,A,B,A,B,A,B,A,B,B,A,A,B,A,B,B,B,A,A,B,B,A,B,A,B,B,B,B,B,A,B
TP2117,A,B,A,B,B,B,A,A,B,A,B,A,-,A,B,A,B,B,B,A,A,-,A,B,A,B,A,B,B,B,B,A,A,B,B,B,B,A,A,A,B,B,B,A,B,A,A,B,B,A,A,B,A,B,B,B,A,A,B,A,B,-,A,A,A,B,A,B,A,B,A,B,B,A,B,B,B,B,A,A,B,A,A,B,B,B,A,A,B,-,A,A,A,B
TP2228,A,A,B,A,B,A,B,B,A,A,A,A,B,B,B,A,A,-,A,A,B,B,A,A,B,B,B,B,B,B,A,B,A,A,A,B,A,A,A,A,B,B,B,B,B,B,B,B,A,-,A,B,B,B,A,B,A,B,A,A,A,A,A,A,A,B,B,B,A,A,A,A,A,A,A,A,A,A,B,B,A,B,A,B,B,B,A,B,A,B,B,-,A,B
TP2261,A,A,A,B,A,B,B,A,B,B,B,B,A,B,A,A,B,A,A,A,B,-,B,B,A,A,B,A,B,B,A,A,B,A,B,B,B,B,B,B,B,A,A,A,B,B,B,B,B,A,A,A,A,A,A,A,B,A,A,A,B,B,A,B,B,B,A,A,B,B,A,B,B,A,A,B,B,A,-,A,A,B,B,A,A,B,A,B,B,B,B,A,A,B
TP2477,A,A,B,A,B,A,B,B,A,A,B,A,B,B,B,A,A,A,A,B,B,-,A,B,B,B,B,B,B,A,A,B,B,A,A,B,A,A,A,A,B,B,B,B,B,B,B,B,A,B,A,B,B,B,B,B,A,B,A,A,A,A,A,A,B,B,B,B,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,B,B,B,A,B,A,B,-,A,A,B
TP2484,A,B,A,A,B,A,A,A,A,A,A,A,-,B,B,A,A,B,B,A,A,-,B,B,B,A,A,B,B,A,A,B,B,B,B,B,B,A,A,B,B,A,B,B,B,B,A,A,A,B,A,A,A,B,A,B,A,A,A,B,A,B,A,A,B,B,A,B,B,A,A,A,B,A,B,B,A,B,A,B,B,A,B,B,B,B,B,B,B,B,B,B,A,B
TP2542,A,A,A,B,B,B,A,A,B,B,B,A,-,B,A,B,B,B,A,A,B,B,B,B,A,B,A,B,B,B,A,B,B,B,A,B,B,A,A,B,A,A,B,B,B,B,B,B,B,B,B,A,A,B,B,B,B,A,B,B,B,B,A,A,A,A,A,A,B,A,A,A,B,A,A,A,B,B,A,B,A,A,A,A,A,A,B,B,A,B,A,A,A,B
TP2544,A,A,A,B,A,B,B,A,B,B,B,B,A,B,A,A,A,A,A,A,B,-,B,B,A,A,B,A,B,B,A,A,B,B,B,B,B,B,B,B,B,A,A,A,B,B,B,B,B,A,A,B,A,A,A,A,B,A,A,A,B,B,A,B,B,B,A,A,A,B,A,B,B,A,A,B,B,A,B,A,A,B,B,A,A,B,A,B,A,B,B,A,A,B
TP2655,A,B,A,A,B,A,B,B,B,B,B,B,-,A,B,A,A,A,B,B,A,-,A,A,B,B,B,A,B,A,A,A,A,A,A,B,A,B,B,B,B,A,A,A,A,B,B,B,B,A,B,B,B,A,A,A,B,B,A,B,A,B,A,A,A,A,A,B,B,A,A,B,B,A,B,A,B,A,B,B,A,B,A,A,B,A,A,B,B,B,A,B,A,B
TP2689,A,A,B,B,B,B,B,B,B,A,B,B,-,B,B,B,B,A,A,B,A,-,A,B,A,B,A,A,B,B,B,A,B,B,A,A,B,B,B,A,B,A,A,A,A,A,B,A,B,A,A,A,B,B,A,A,A,B,A,A,B,B,B,B,B,A,A,B,A,B,A,B,B,A,A,B,A,B,A,A,B,B,A,A,A,B,A,A,A,A,B,B,A,B
TP2741,B,B,A,A,A,A,A,B,B,B,A,A,-,B,B,B,A,A,A,A,A,-,B,B,B,B,B,B,B,A,-,A,B,A,B,B,A,B,B,B,A,A,B,A,B,A,A,A,A,B,B,A,B,B,A,B,B,B,A,B,A,B,A,B,B,A,B,B,B,B,B,A,A,A,A,A,A,A,B,A,A,B,B,A,A,A,A,A,A,A,B,A,A,B
TP2800,B,B,A,A,A,B,B,A,B,B,A,B,B,-,A,A,A,B,B,A,B,-,A,A,A,A,A,-,A,B,B,B,B,A,B,A,A,A,B,A,B,B,A,A,A,B,A,B,B,A,B,B,A,A,B,B,B,B,B,A,A,A,B,B,B,B,B,A,B,A,B,B,B,A,B,B,B,A,B,B,B,B,B,A,A,B,A,B,A,A,B,A,A,B
TP2835,A,B,A,A,B,B,A,B,B,B,B,A,A,B,A,B,A,A,A,A,B,-,B,A,A,B,A,B,B,B,A,B,B,B,A,B,B,A,B,B,A,A,B,B,B,A,B,A,B,B,B,B,A,B,B,B,B,A,B,B,B,B,A,A,A,A,B,A,B,A,A,A,B,A,A,A,B,B,A,B,A,A,A,A,A,B,B,B,A,B,A,A,A,B
TP2847,B,B,B,A,A,A,A,B,A,A,B,-,A,A,B,A,B,A,B,B,B,-,B,B,A,A,B,B,B,B,B,B,A,B,A,B,A,B,B,A,A,B,B,A,B,A,B,B,B,B,A,B,A,B,A,A,A,A,A,A,A,B,A,B,A,A,A,B,A,B,B,B,B,B,B,B,B,A,A,B,B,A,B,A,A,A,B,B,A,A,B,A,A,B
TP2868,B,B,A,A,A,A,A,A,B,B,A,A,-,B,B,B,A,A,A,A,A,-,B,B,B,B,B,B,B,A,A,A,B,A,B,B,A,B,B,B,A,A,B,A,B,A,A,A,A,B,B,A,B,B,B,B,B,B,A,B,A,B,A,B,B,A,B,A,B,B,B,A,A,A,A,A,A,A,B,A,A,B,B,A,A,A,A,A,A,A,B,A,A,B
TP2902,B,A,A,A,A,A,A,B,A,B,A,A,A,B,B,B,A,A,A,A,A,-,B,B,B,B,B,B,B,A,A,A,B,A,B,B,A,B,B,B,A,A,B,A,B,A,A,A,A,B,B,A,B,B,A,B,B,B,A,B,A,B,A,B,B,A,B,B,B,B,B,A,A,A,A,A,A,A,B,A,A,B,B,A,A,A,A,A,A,A,B,A,A,B
TP2921,A,A,B,B,B,B,A,A,B,B,B,A,-,B,A,A,B,B,B,A,B,-,A,B,A,A,B,A,A,B,A,A,A,B,B,B,A,-,B,A,A,A,B,A,A,A,A,B,A,B,A,B,A,B,A,A,A,A,B,A,B,B,A,A,A,B,B,B,A,B,A,B,A,B,B,B,B,B,A,A,A,A,A,B,B,B,B,B,B,B,B,B,A,B
TP3025,A,B,A,B,B,B,B,A,B,B,A,A,B,B,B,B,A,B,A,B,A,-,B,A,B,A,B,A,A,B,A,A,A,B,A,B,B,B,A,B,A,B,A,B,B,A,B,A,B,B,B,A,B,B,B,B,B,A,B,B,A,B,A,B,A,A,B,A,A,A,A,A,B,A,A,B,A,A,B,A,A,B,A,B,B,A,A,A,A,B,B,A,A,B
